date,compileTime,assembleTime,mean,stdev,median
09/25/17,347.542,0.050894,2.58289,0.0131099,2.57661
09/25/17,200.208,0.039717,2.68634,0.0172771,2.67871
09/26/17,245.425,0.297885,2.64867,0.0118463,2.64312
10/05/17,197.024,0.136847,2.60853,0.0177264,2.60108
10/11/17,252.842,0.052598,2.59174,0.014758,2.58575
10/12/17,230.247,0.056932,2.65903,0.0579258,2.61262
10/13/17,204.224,0.038427,2.5923,0.0169604,2.58474
10/14/17,213.66,0.052839,2.62505,0.0410353,2.62252
10/19/17,224.016,0.029807,2.61474,0.0183459,2.60493
